CID,BDATE,GEN
NASAW00016465,1945-12-16,Male
NASAW00016466,1947-05-21,Male
NASAW00016467,1997-08-01,Female
NASAW00016468,1955-01-19,Male
NASAW00016469,1966-12-05,Female
NASAW00016470,1987-05-16,Female
NASAW00016471,1968-09-04,Male
NASAW00016472,1982-04-12,Male
NASAW00016473,1980-02-24,Female
NASAW00016474,1957-01-06,Male
NASAW00016475,1972-12-03,Male
NASAW00016476,1992-03-09,Female
NASAW00016477,1954-10-07,Male
NASAW00016478,1965-10-03,Female
NASAW00016479,1975-10-08,Male
NASAW00016480,1981-07-16,Male
NASAW00016481,1964-05-05,Male
NASAW00016482,1951-08-06,Female
NASAW00016483,1975-01-27,Male
NASAW00016484,1953-04-11,Male
NASAW00016485,1971-05-17,Female
NASAW00016486,1948-11-05,Male
NASAW00016487,1975-04-12,Female
NASAW00016488,1983-06-17,Male
NASAW00016489,1991-08-05,Male
NASAW00016490,1956-07-22,Male
NASAW00016491,1948-10-13,Male
NASAW00016492,1991-09-04,Female
NASAW00016493,1980-01-16,Male
NASAW00016494,1947-06-13,Female
NASAW00016495,1951-07-10,Male
NASAW00016496,1953-12-20,Male
NASAW00016497,1967-10-16,Female
NASAW00016498,1949-09-02,Male
NASAW00016499,1984-02-20,Female
NASAW00016500,2001-03-13,Female
NASAW00016501,1995-05-14,Male
NASAW00016502,2000-09-23,Female
NASAW00016503,1971-01-20,Male
NASAW00016504,1955-05-24,Male
NASAW00016505,1992-05-09,Male
NASAW00016506,1975-09-27,Female
NASAW00016507,2004-11-06,Male
NASAW00016508,1981-07-22,Male
NASAW00016509,2002-11-17,Male
NASAW00016510,1949-10-16,Female
NASAW00016511,1985-07-05,Male
NASAW00016512,1999-05-04,Female
NASAW00016513,1995-08-23,Male
NASAW00016514,1970-12-17,Male
NASAW00016515,1946-06-01,Female
NASAW00016516,1967-11-25,Male
NASAW00016517,1981-02-21,Female
NASAW00016518,2001-01-10,Female
NASAW00016519,2003-12-04,Female
NASAW00016520,1953-01-16,Female
NASAW00016521,1958-01-10,Female
NASAW00016522,1996-12-20,Male
NASAW00016523,1958-03-08,Male
NASAW00016524,1971-06-01,male
NASAW00016525,1972-10-10,Male
NASAW00016526,1960-09-17,Male
NASAW00016527,1961-08-05,Male
NASAW00016528,1971-06-01,Female
NASAW00016529,1981-04-07,Male
NASAW00016530,1981-08-03,Male
NASAW00016531,1995-01-20,Female
NASAW00016532,2002-06-10,Female
NASAW00016533,1947-09-28,Male
NASAW00016534,1964-05-15,Male
NASAW00016535,1991-08-27,Female
NASAW00016536,2005-02-14,Female
NASAW00016537,2003-05-02,Male
NASAW00016538,2003-12-20,Male
NASAW00016539,1970-07-18,Female
NASAW00016540,1981-07-23,Male
NASAW00016541,1957-10-13,Female
NASAW00016542,1975-08-17,
NASAW00016543,1958-03-18,Female
NASAW00016544,1993-11-07,Female
NASAW00016545,2004-04-17,Female
NASAW00016546,1996-05-26,Female
NASAW00016547,2001-07-21,Male
NASAW00016548,1946-05-05,Female
NASAW00016549,1953-10-25,Male
NASAW00016550,1962-01-27,Female
NASAW00016551,1996-04-10,Male
NASAW00016552,1967-08-09,Female
NASAW00016553,1980-10-07,Male
NASAW00016554,1997-09-19,Female
NASAW00016555,1990-09-01,Male
NASAW00016556,1947-08-24,Male
NASAW00016557,1987-12-03,Male
NASAW00016558,1945-08-02,Female
NASAW00016559,1998-11-12,Female
NASAW00016560,1950-08-14,Male
NASAW00016561,1979-09-27,Male
NASAW00016562,1952-04-15,Female
NASAW00016563,1947-04-16,Male
NASAW00016564,1978-08-30,Female
NASAW00016565,1952-03-09,Male
NASAW00016566,1973-11-01,Female
NASAW00016567,1960-11-24,Male
NASAW00016568,1997-04-04,Female
NASAW00016569,2001-04-01,Female
NASAW00016570,1964-10-13,Female
NASAW00016571,1946-07-06,Female
NASAW00016572,1984-09-19,Female
NASAW00016573,1959-07-25,Female
NASAW00016574,1957-07-15,Female
NASAW00016575,2005-03-27,Male
NASAW00016576,1975-11-30,
NASAW00016577,1953-04-05,Female
NASAW00016578,2001-02-08,Female
NASAW00016579,1949-04-12,Male
NASAW00016580,1968-08-23,male
NASAW00016581,2005-07-11,Male
NASAW00016582,1962-07-09,Female
NASAW00016583,1965-10-28,Male
NASAW00016584,1973-03-10,Male
NASAW00016585,1963-03-07,Female
NASAW00016586,1954-10-03,Male
NASAW00016587,1986-08-26,
NASAW00016588,1959-09-27,Male
NASAW00016589,1999-02-03,Female
NASAW00016590,1955-02-08,Female
NASAW00016591,1966-05-08,Female
NASAW00016592,1956-11-16,Female
NASAW00016593,1978-09-25,Male
NASAW00016594,1985-02-23,Female
NASAW00016595,1972-07-20,Male
NASAW00016596,1960-02-19,Female
NASAW00016597,1949-04-15,Female
NASAW00016598,1971-05-19,Male
NASAW00016599,1983-09-07,Male
NASAW00016600,1966-03-21,Female
NASAW00016601,1954-02-12,Male
NASAW00016602,1957-09-20,Female
NASAW00016603,2004-11-12,Male
NASAW00016604,1951-09-30,Female
NASAW00016605,2002-05-02,Female
NASAW00016606,1997-11-04,Male
NASAW00016607,1954-03-08,Female
NASAW00016608,1991-08-08,Female
NASAW00016609,1960-05-25,Female
NASAW00016610,1989-01-29,Female
NASAW00016611,1965-12-25,Male
NASAW00016612,1993-05-22,Male
NASAW00016613,1991-03-26,Female
NASAW00016614,1981-08-23,Female
NASAW00016615,1996-05-10,Male
NASAW00016616,1989-03-19,Female
NASAW00016617,1981-02-19,Male
NASAW00016618,1985-09-10,Male
NASAW00016619,1981-02-15,Female
NASAW00016620,1966-03-03,Male
NASAW00016621,1946-05-22,Male
NASAW00016622,1978-09-29,Male
NASAW00016623,2004-02-12,Male
NASAW00016624,1965-02-02,Female
NASAW00016625,2005-06-16,Female
NASAW00016626,2005-11-23,Female
NASAW00016627,1946-05-02,Female
NASAW00016628,1954-05-31,Female
NASAW00016629,1996-02-02,Male
NASAW00016630,1991-11-28,Male
NASAW00016631,1951-07-12,Male
NASAW00016632,1974-05-16,Female
NASAW00016633,1998-04-22,Female
NASAW00016634,1966-02-07,Female
NASAW00016635,1994-01-19,Male
NASAW00016636,1956-05-20,Male
NASAW00016637,1974-09-08,Male
NASAW00016638,2004-06-02,Female
NASAW00016639,1998-09-02,Female
NASAW00016640,1990-07-09,Male
NASAW00016641,1971-10-01,Female
NASAW00016642,1999-09-14,Male
NASAW00016643,2003-01-26,Female
NASAW00016644,1985-07-16,Female
NASAW00016645,1948-03-19,Female
NASAW00016646,1953-03-23,Male
NASAW00016647,1966-02-09,Female
NASAW00016648,1985-02-26,Male
NASAW00016649,1993-05-19,Male
NASAW00016650,1947-05-10,Female
NASAW00016651,1969-08-30,Male
NASAW00016652,2000-02-02,Female
NASAW00016653,1989-05-26,Female
NASAW00016654,1979-06-30,Female
NASAW00016655,1990-05-19,Male
NASAW00016656,1956-08-14,Male
NASAW00016657,1989-04-24,Male
NASAW00016658,2002-09-18,Male
NASAW00016659,1980-10-05,Male
NASAW00016660,1978-01-28,Female
NASAW00016661,1947-09-07,Female
NASAW00016662,1980-01-02,Female
NASAW00016663,2006-07-06,Male
NASAW00016664,1947-10-01,Male
NASAW00016665,1970-01-31,Male
NASAW00016666,1975-09-28,Female
NASAW00016667,1967-07-16,Female
NASAW00016668,1986-05-01,Male
NASAW00016669,1957-08-05,Female
NASAW00016670,1961-08-29,Male
NASAW00016671,2006-04-28,Female
NASAW00016672,1980-02-11,Male
NASAW00016673,1962-06-16,Male
NASAW00016674,1975-07-10,Female
NASAW00016675,1952-02-22,Female
NASAW00016676,1961-09-28,Female
NASAW00016677,1988-05-11,Female
NASAW00016678,1979-11-28,Male
NASAW00016679,1981-03-19,Male
NASAW00016680,1964-12-10,Female
NASAW00016681,1954-03-04,Male
NASAW00016682,1995-03-27,Female
NASAW00016683,1977-10-26,female
NASAW00016684,1988-12-05,Female
NASAW00016685,1995-02-14,Female
NASAW00016686,1988-10-05,Female
NASAW00016687,1968-06-24,Male
NASAW00016688,1972-07-05,Male
NASAW00016689,2005-08-06,Male
NASAW00016690,1955-02-27,Female
NASAW00016691,1959-10-15,Female
NASAW00016692,1997-03-19,Male
NASAW00016693,1952-09-19,Male
NASAW00016694,1980-05-24,Female
NASAW00016695,1971-05-07,Female
NASAW00016696,1974-05-29,Male
NASAW00016697,1960-07-26,Male
NASAW00016698,1982-08-20,Male
NASAW00016699,1966-05-14,Female
NASAW00016700,1973-06-20,Female
NASAW00016701,1958-06-06,Male
NASAW00016702,1970-06-08,Male
NASAW00016703,1948-02-28,Male
NASAW00016704,1985-12-19,Male
NASAW00016705,1998-02-01,Male
NASAW00016706,1999-04-14,Male
NASAW00016707,1987-11-20,M
NASAW00016708,1956-08-23,Female
NASAW00016709,1981-01-31,Male
NASAW00016710,1974-09-08,Female
NASAW00016711,1982-05-01,Female
NASAW00016712,1997-05-10,Female
NASAW00016713,1993-05-08,Female
NASAW00016714,1960-01-14,Female
NASAW00016715,1990-10-10,Female
NASAW00016716,1993-07-26,Female
NASAW00016717,1977-08-19,Female
NASAW00016718,2000-01-21,Male
NASAW00016719,1972-04-28,Male
NASAW00016720,1952-06-12,Female
NASAW00016721,1974-10-24,
NASAW00016722,1945-07-25,Male
NASAW00016723,1958-12-28,Female
NASAW00016724,2002-05-06,Male
NASAW00016725,1951-07-12,Male
NASAW00016726,2002-08-28,Male
NASAW00016727,1974-03-31,Male
NASAW00016728,1963-09-11,M
NASAW00016729,1988-02-10,Female
NASAW00016730,2001-10-29,Male
NASAW00016731,2006-03-09,Female
NASAW00016732,1970-07-07,Female
NASAW00016733,1979-08-13,Female
NASAW00016734,1957-12-04,Male
NASAW00016735,1982-12-16,Female
NASAW00016736,1971-04-05,Male
NASAW00016737,1945-07-28,Male
NASAW00016738,1978-02-02,Male
NASAW00016739,1992-03-05,Male
NASAW00016740,1993-09-30,Male
NASAW00016741,1956-12-30,Male
NASAW00016742,1956-05-01,Male
NASAW00016743,2002-11-18,M
NASAW00016744,2000-12-27,Female
NASAW00016745,1945-09-23,Male
NASAW00016746,1982-04-07,Male
NASAW00016747,1963-04-20,Female
NASAW00016748,1975-12-15,Female
NASAW00016749,1987-04-26,Male
NASAW00016750,2004-09-03,Male
NASAW00016751,1976-05-29,Female
NASAW00016752,1968-05-10,Female
NASAW00016753,1995-06-04,Female
NASAW00016754,1957-03-04,Male
NASAW00016755,1974-03-13,Male
NASAW00016756,1990-11-03,Female
NASAW00016757,1979-04-23,Male
NASAW00016758,1954-03-05,Male
NASAW00016759,1984-06-07,Female
NASAW00016760,1960-10-01,Male
NASAW00016761,1962-10-17,Male
NASAW00016762,1995-08-24,Male
NASAW00016763,1900-01-01,Male
NASAW00016764,1958-12-04,Male
NASAW00016765,1981-12-16,Male
NASAW00016766,1983-04-27,Male
NASAW00016767,2002-06-14,Male
NASAW00016768,1966-03-20,Female
NASAW00016769,2003-08-12,Male
NASAW00016770,1996-10-26,Male
NASAW00016771,1973-09-23,Female
NASAW00016772,1968-12-07,Female
NASAW00016773,2002-10-31,Female
NASAW00016774,1964-08-20,Female
NASAW00016775,1971-01-02,Male
NASAW00016776,1996-03-25,Female
NASAW00016777,1996-10-27,Female
NASAW00016778,1999-11-02,Male
NASAW00016779,1961-03-11,Female
NASAW00016780,1945-03-30,Male
NASAW00016781,1984-06-27,Male
NASAW00016782,1974-09-15,Female
NASAW00016783,1992-04-12,Male
NASAW00016784,1964-03-22,Female
NASAW00016785,1957-05-29,Male
NASAW00016786,1956-09-21,Male
NASAW00016787,1957-02-01,Female
NASAW00016788,1949-11-14,Male
NASAW00016789,1948-05-18,Female
NASAW00016790,1994-09-21,Female
NASAW00016791,1991-07-13,Female
NASAW00016792,1976-05-04,Female
NASAW00016793,2004-11-14,Male
NASAW00016794,1966-03-31,Female
NASAW00016795,1950-06-18,Male
NASAW00016796,1963-02-14,M
NASAW00016797,1966-03-14,Male
NASAW00016798,1996-05-18,Female
NASAW00016799,1954-10-28,Female
NASAW00016800,1959-08-17,Male
NASAW00016801,1947-01-19,Male
NASAW00016802,1997-08-26,Male
NASAW00016803,1953-04-19,Female
NASAW00016804,1969-11-13,Male
NASAW00016805,1950-02-01,Male
NASAW00016806,1945-06-10,Female
NASAW00016807,1952-06-01,Female
NASAW00016808,1953-05-04,Male
NASAW00016809,1958-01-10,Male
NASAW00016810,1958-08-14,Male
NASAW00016811,1955-08-06,Female
NASAW00016812,1981-10-17,Male
NASAW00016813,1949-10-20,Male
NASAW00016814,1955-05-27,Female
NASAW00016815,1954-05-18,Male
NASAW00016816,1948-10-03,Male
NASAW00016817,1985-01-21,Female
NASAW00016818,2004-05-14,Female
NASAW00016819,1967-04-24,Male
NASAW00016820,1948-04-28,Male
NASAW00016821,1983-09-16,Male
NASAW00016822,1993-02-06,Female
NASAW00016823,1985-11-07,Female
NASAW00016824,1991-09-28,Female
NASAW00016825,1960-10-20,Female
NASAW00016826,1947-01-15,Female
NASAW00016827,2001-02-07,Female
NASAW00016828,1945-10-14,Female
NASAW00016829,1957-01-29,Female
NASAW00016830,1978-09-11,Male
NASAW00016831,1977-11-25,Female
NASAW00016832,1979-02-20,Male
NASAW00016833,2003-10-12,Female
NASAW00016834,2004-11-01,Female
NASAW00016835,1956-07-02,Female
NASAW00016836,1946-07-14,Male
NASAW00016837,1985-09-15,Female
NASAW00016838,1962-02-11,Female
NASAW00016839,1994-04-26,Female
NASAW00016840,1979-10-03,Male
NASAW00016841,1964-01-09,Female
NASAW00016842,1951-09-22,Male
NASAW00016843,1947-04-21,Female
NASAW00016844,1949-10-30,Female
NASAW00016845,2000-02-09,Male
NASAW00016846,1995-01-08,Male
NASAW00016847,1959-12-05,Male
NASAW00016848,1984-10-02,Male
NASAW00016849,1983-09-09,Male
NASAW00016850,1981-12-29,Male
NASAW00016851,1970-03-31,Male
NASAW00016852,1975-09-20,Male
NASAW00016853,2006-05-29,Male
NASAW00016854,1964-11-26,Female
NASAW00016855,1947-11-28,Male
NASAW00016856,1946-07-07,Female
NASAW00016857,1989-07-14,Female
NASAW00016858,1978-01-25,Female
NASAW00016859,2000-11-19,Female
NASAW00016860,1997-12-11,Female
NASAW00016861,1978-05-16,Male
NASAW00016862,1967-01-30,Male
NASAW00016863,1957-04-12,Female
NASAW00016864,1986-06-05,Male
NASAW00016865,1948-12-16,Male
NASAW00016866,1991-02-17,Male
NASAW00016867,1947-05-24,Female
NASAW00016868,1994-09-09,Female
NASAW00016869,1980-10-06,Male
NASAW00016870,1988-11-14,Male
NASAW00016871,1993-11-03,Male
NASAW00016872,2005-02-15,Male
NASAW00016873,1958-04-16,Male
NASAW00016874,1975-10-01,Female
NASAW00016875,1952-07-29,Male
NASAW00016876,1981-08-28,Male
NASAW00016877,1949-11-01,Male
NASAW00016878,1974-10-19,Male
NASAW00016879,1970-10-25,Female
NASAW00016880,1989-02-21,Female
NASAW00016881,1960-09-12,Male
NASAW00016882,1947-03-24,F
NASAW00016883,1961-04-21,Female
NASAW00016884,1985-02-01,Female
NASAW00016885,1998-06-26,Male
NASAW00016886,1963-05-10,Male
NASAW00016887,1974-12-11,Male
NASAW00016888,1999-06-15,Female
NASAW00016889,1967-10-23,Female
NASAW00016890,1984-03-10,Male
NASAW00016891,1976-09-09,Male
NASAW00016892,1957-05-27,Female
NASAW00016893,1946-09-14,M
NASAW00016894,1981-02-25,Male
NASAW00016895,1972-11-12,Male
NASAW00016896,1951-02-01,Male
NASAW00016897,1985-02-05,Female
NASAW00016898,1956-02-26,Male
NASAW00016899,1946-10-06,Female
NASAW00016900,1997-07-14,Male
NASAW00016901,1995-07-03,Female
NASAW00016902,1996-07-06,Female
NASAW00016903,2004-11-26,Male
NASAW00016904,1973-05-30,Male
NASAW00016905,1967-12-04,Male
NASAW00016906,1997-11-25,Female
NASAW00016907,1980-06-09,Female
NASAW00016908,2002-04-26,Male
NASAW00016909,1962-10-28,Female
NASAW00016910,2006-06-21,Female
NASAW00016911,1979-04-17,Female
NASAW00016912,1954-02-27,Female
NASAW00016913,1953-12-07,Female
NASAW00016914,1970-09-20,Female
NASAW00016915,1988-01-21,Male
NASAW00016916,1965-12-06,Female
NASAW00016917,1984-03-13,Female
NASAW00016918,1997-04-17,Male
NASAW00016919,1999-10-11,Male
NASAW00016920,1951-01-05,Female
NASAW00016921,1959-10-26,Male
NASAW00016922,1947-05-13,Male
NASAW00016923,1991-04-04,Male
NASAW00016924,1954-06-26,Male
NASAW00016925,1959-03-18,Male
NASAW00016926,2001-08-05,Female
NASAW00016927,1953-07-13,Male
NASAW00016928,,Female
NASAW00016929,1958-02-25,Male
NASAW00016930,1984-11-15,Female
NASAW00016931,2004-05-06,Male
NASAW00016932,1994-01-15,Female
NASAW00016933,1972-04-14,Male
NASAW00016934,1955-10-16,Female
NASAW00016935,1991-10-30,Male
NASAW00016936,1996-03-27,Female
NASAW00016937,1984-04-07,Male
NASAW00016938,1950-07-16,Female
NASAW00016939,1993-06-15,Female
NASAW00016940,1973-09-23,Male
NASAW00016941,1961-02-18,Female
NASAW00016942,1995-07-20,Female
NASAW00016943,1953-03-18,Male
NASAW00016944,1959-02-28,Female
NASAW00016945,2005-07-01,Female
NASAW00016946,1959-11-02,Female
NASAW00016947,1995-03-19,Male
NASAW00016948,1986-07-28,Female
NASAW00016949,1996-11-28,Female
NASAW00016950,2004-08-16,Female
NASAW00016951,1948-11-14,Male
NASAW00016952,1955-07-31,Male
NASAW00016953,1997-02-14,Female
NASAW00016954,1983-04-28,Male
NASAW00016955,1960-11-18,Male
NASAW00016956,1974-11-26,Female
NASAW00016957,1954-08-08,Female
NASAW00016958,1997-02-16,Female
NASAW00016959,1961-04-21,Male
NASAW00016960,1999-04-04,Female
NASAW00016961,1999-09-17,Male
NASAW00016962,1968-10-04,Female
NASAW00016963,1947-04-20,Female
NASAW00016964,1958-08-11,Male
NASAW00016965,1958-09-21,Male
NASAW00016966,1979-08-17,Female
NASAW00016967,1997-01-13,Female
NASAW00016968,1969-09-10,Male
NASAW00016969,1945-01-12,Male
NASAW00016970,1968-11-09,Male
NASAW00016971,2000-02-04,Female
NASAW00016972,1957-05-02,Female
NASAW00016973,1988-01-09,Female
NASAW00016974,1999-01-02,Female
NASAW00016975,1946-12-24,Male
NASAW00016976,1953-01-01,Male
NASAW00016977,1955-02-19,Male
NASAW00016978,1977-02-04,Male
NASAW00016979,1963-05-10,Male
NASAW00016980,1965-11-15,Female
NASAW00016981,1945-01-14,Male
NASAW00016982,1948-12-05,Female
NASAW00016983,1994-11-28,Female
NASAW00016984,1974-10-29,Male
NASAW00016985,1959-11-09,Female
NASAW00016986,1972-02-07,Female
NASAW00016987,1956-03-05,Female
NASAW00016988,1973-07-09,Male
NASAW00016989,1970-12-10,Female
NASAW00016990,1981-01-26,Female
NASAW00016991,1988-06-11,Male
NASAW00016992,1991-04-11,Female
NASAW00016993,1998-05-05,Male
NASAW00016994,1994-01-18,Male
NASAW00016995,1980-12-13,Male
NASAW00016996,,Female
NASAW00016997,1969-04-20,Male
NASAW00016998,1965-04-27,Male
NASAW00016999,1980-05-24,Female
NASAW00017000,1993-12-23,Male
NASAW00017001,1997-03-12,Female
NASAW00017002,1972-12-16,Female
NASAW00017003,1995-11-21,Male
NASAW00017004,1974-05-14,Female
NASAW00017005,1973-02-17,Male
NASAW00017006,1954-12-05,Male
NASAW00017007,1998-10-01,Male
NASAW00017008,2006-09-04,Female
NASAW00017009,1967-02-08,Female
NASAW00017010,1948-12-28,Male
NASAW00017011,1987-07-27,Male
NASAW00017012,1965-05-16,Female
NASAW00017013,1963-08-02,Male
NASAW00017014,1981-11-08,Male
NASAW00017015,1953-12-22,Female
NASAW00017016,1974-05-25,Male
NASAW00017017,1979-01-01,Male
NASAW00017018,1947-03-23,Female
NASAW00017019,1957-03-11,Female
NASAW00017020,1961-01-20,Female
NASAW00017021,1978-08-25,Female
NASAW00017022,1994-12-13,Female
NASAW00017023,1989-08-20,Female
NASAW00017024,1984-02-06,Male
NASAW00017025,1972-11-17,Female
NASAW00017026,1988-12-18,Female
NASAW00017027,1993-03-23,Female
NASAW00017028,1972-09-05,Male
NASAW00017029,1962-04-02,Male
NASAW00017030,1983-02-22,Female
NASAW00017031,1968-02-27,Female
NASAW00017032,1956-09-26,Male
NASAW00017033,1982-07-27,Female
NASAW00017034,1949-11-11,Female
NASAW00017035,1999-02-27,Male
NASAW00017036,1949-10-26,female
NASAW00017037,1983-03-05,Male
NASAW00017038,1955-08-17,Female
NASAW00017039,1961-03-30,Female
NASAW00017040,1983-06-01,Female
NASAW00017041,2003-11-29,Female
NASAW00017042,1957-01-19,Male
NASAW00017043,1980-01-02,Male
NASAW00017044,1960-11-13,Male
NASAW00017045,1953-04-13,Female
NASAW00017046,1992-11-08,Female
NASAW00017047,1950-05-20,male
NASAW00017048,1946-05-07,Female
NASAW00017049,1988-03-03,Male
NASAW00017050,1962-07-29,Male
NASAW00017051,1996-11-03,Female
NASAW00017052,1984-11-03,Male
NASAW00017053,1969-07-06,Female
NASAW00017054,1968-08-09,Female
NASAW00017055,1951-10-31,Male
NASAW00017056,1959-10-09,Female
NASAW00017057,1965-07-12,Female
NASAW00017058,1975-09-12,Female
NASAW00017059,1997-10-26,Male
NASAW00017060,1986-05-18,Male
NASAW00017061,1978-01-22,Male
NASAW00017062,1972-10-16,Male
NASAW00017063,1990-03-03,Female
NASAW00017064,1977-06-24,Female
NASAW00017065,1949-03-25,F
NASAW00017066,1967-10-31,Female
NASAW00017067,1970-08-03,Female
NASAW00017068,1958-01-25,Male
NASAW00017069,1954-12-30,Male
NASAW00017070,1958-10-31,Female
NASAW00017071,1970-08-12,Female
NASAW00017072,2006-03-15,Male
NASAW00017073,1985-06-10,Female
NASAW00017074,1963-07-05,Female
NASAW00017075,2002-11-15,Male
NASAW00017076,1988-11-23,Male
NASAW00017077,1994-10-20,Male
NASAW00017078,1951-07-13,Female
NASAW00017079,1946-02-18,Male
NASAW00017080,1951-01-14,Female
NASAW00017081,1967-02-26,Female
NASAW00017082,1974-07-07,Male
NASAW00017083,1947-12-24,Male
NASAW00017084,1974-02-27,Male
NASAW00017085,1968-12-07,Male
NASAW00017086,1974-09-12,Female
NASAW00017087,1946-01-23,
NASAW00017088,2001-11-30,Male
NASAW00017089,1980-07-23,Female
NASAW00017090,1991-02-17,Female
NASAW00017091,1975-12-26,Female
NASAW00017092,1967-10-19,Female
NASAW00017093,1968-06-22,Male
NASAW00017094,1992-09-14,Female
NASAW00017095,2006-10-06,Male
NASAW00017096,1985-05-27,Male
NASAW00017097,1946-05-26,Female
NASAW00017098,1966-08-13,Male
NASAW00017099,1958-03-13,Female
NASAW00017100,1993-05-06,Female
NASAW00017101,1997-08-08,Male
NASAW00017102,2006-12-16,Female
NASAW00017103,1973-03-20,Male
NASAW00017104,1988-01-03,Female
NASAW00017105,2006-02-05,Female
NASAW00017106,1965-11-12,Male
NASAW00017107,1998-09-02,Female
NASAW00017108,1967-09-01,Male
NASAW00017109,1963-04-12,Male
NASAW00017110,1998-02-23,Male
NASAW00017111,1966-05-18,Male
NASAW00017112,1958-07-18,Female
NASAW00017113,1947-09-13,Male
NASAW00017114,1995-10-31,Male
NASAW00017115,1991-05-23,Male
NASAW00017116,1996-11-11,Male
NASAW00017117,1960-01-20,Male
NASAW00017118,1955-06-30,Female
NASAW00017119,1960-10-07,Male
NASAW00017120,1950-08-28,Female
NASAW00017121,1986-05-22,Male
NASAW00017122,1949-01-24,Female
NASAW00017123,1979-08-27,Male
NASAW00017124,1971-07-06,Female
NASAW00017125,1953-05-04,Male
NASAW00017126,1994-08-13,Female
NASAW00017127,2003-04-22,Male
NASAW00017128,1997-11-25,Male
NASAW00017129,1988-04-18,Male
NASAW00017130,1962-06-30,Female
NASAW00017131,1997-10-25,Male
NASAW00017132,1948-02-17,female
NASAW00017133,1946-07-08,Female
NASAW00017134,1961-05-13,
NASAW00017135,1970-01-10,Female
NASAW00017136,1984-04-03,Female
NASAW00017137,1946-10-03,Male
NASAW00017138,1984-02-09,Female
NASAW00017139,1982-11-13,Male
NASAW00017140,1946-03-04,Female
NASAW00017141,1978-04-13,Male
NASAW00017142,1953-02-06,Male
NASAW00017143,1970-04-26,F
NASAW00017144,1993-08-05,Female
NASAW00017145,2000-02-05,Female
NASAW00017146,2000-07-01,Male
NASAW00017147,1977-12-14,Male
NASAW00017148,1983-07-27,Male
NASAW00017149,1971-05-25,Female
NASAW00017150,1992-12-07,Female
NASAW00017151,1959-04-18,Female
NASAW00017152,1946-05-21,Female
NASAW00017153,1995-01-24,Male
NASAW00017154,1987-05-23,Female
NASAW00017155,2000-02-13,Male
NASAW00017156,1978-04-14,Female
NASAW00017157,1961-03-16,Male
NASAW00017158,1996-01-30,Female
NASAW00017159,1947-02-05,Male
NASAW00017160,1956-05-08,Male
NASAW00017161,1956-11-27,Female
NASAW00017162,1985-10-12,Male
NASAW00017163,1979-02-08,Male
NASAW00017164,1994-08-22,Female
NASAW00017165,1957-06-28,Female
NASAW00017166,1977-05-29,Female
NASAW00017167,1955-07-27,Female
NASAW00017168,1971-02-02,Male
NASAW00017169,1988-10-21,Male
NASAW00017170,1951-09-12,Male
NASAW00017171,1970-02-24,Female
NASAW00017172,1957-05-12,Male
NASAW00017173,1959-08-07,Female
NASAW00017174,1974-12-28,Male
NASAW00017175,1985-04-22,Female
NASAW00017176,1977-11-16,Male
NASAW00017177,1954-06-11,Female
NASAW00017178,2006-02-05,Female
NASAW00017179,1949-01-26,Male
NASAW00017180,1945-04-05,Male
NASAW00017181,1956-05-02,Female
NASAW00017182,1989-08-01,Male
NASAW00017183,1949-06-20,Female
NASAW00017184,1964-09-12,Female
NASAW00017185,1981-10-14,Male
NASAW00017186,1986-03-19,Male
NASAW00017187,1969-12-25,Female
NASAW00017188,1960-12-08,Female
NASAW00017189,1970-02-13,Male
NASAW00017190,1988-07-22,Male
NASAW00017191,1959-06-09,Female
NASAW00017192,1966-07-26,Female
NASAW00017193,1951-07-04,Female
NASAW00017194,1945-07-24,Male
NASAW00017195,1976-07-12,Male
NASAW00017196,1953-03-17,Female
NASAW00017197,1945-02-03,Female
NASAW00017198,1954-10-19,Male
NASAW00017199,1973-04-05,Male
NASAW00017200,1948-11-30,Male
NASAW00017201,1984-07-12,Male
NASAW00017202,1962-11-28,Female
NASAW00017203,1951-05-12,Female
NASAW00017204,2006-01-19,F
NASAW00017205,1968-01-03,Male
NASAW00017206,1990-03-26,Female
NASAW00017207,1995-05-27,Female
NASAW00017208,1965-05-14,Male
NASAW00017209,1995-11-30,Female
NASAW00017210,1998-03-18,Male
NASAW00017211,1981-12-22,Female
NASAW00017212,1970-01-13,Male
NASAW00017213,1982-02-02,Male
NASAW00017214,2001-01-07,Male
NASAW00017215,1987-07-16,Female
NASAW00017216,1993-04-21,Male
NASAW00017217,1948-03-09,Male
NASAW00017218,1958-10-17,Female
NASAW00017219,1964-11-24,Male
NASAW00017220,1987-01-05,Male
NASAW00017221,1977-04-17,Male
NASAW00017222,1975-04-09,Male
NASAW00017223,1982-09-28,Female
NASAW00017224,1969-06-29,Female
NASAW00017225,1948-06-29,Female
NASAW00017226,1962-05-21,Male
NASAW00017227,1967-07-21,Male
NASAW00017228,1994-02-02,Male
NASAW00017229,1973-07-10,Female
NASAW00017230,2001-07-30,Female
NASAW00017231,1981-06-01,Male
NASAW00017232,1974-09-07,Female
NASAW00017233,1984-11-11,Male
NASAW00017234,1980-04-20,Female
NASAW00017235,1976-08-14,Female
NASAW00017236,1959-04-23,Male
NASAW00017237,1945-11-15,Female
NASAW00017238,1974-02-12,Female
NASAW00017239,2001-06-05,Male
NASAW00017240,2004-10-04,Male
NASAW00017241,1965-12-15,Male
NASAW00017242,1953-12-25,Female
NASAW00017243,1953-07-02,Male
