order_number,product_number,customer_id,order_date,ship_date,due_date,sales_amount,quantity,price
GO55073,DA-PC-MOZZ-XL,17339,2022-02-15,2022-02-17,2022-02-28,706.2,6,117.7
GO55074,SN-CH-POPC-12PK,19538,2020-01-13,2020-01-18,2020-01-19,145.62,6,24.27
GO55075,HB-FO-PAIN-12PK,24561,2021-04-15,2021-04-21,2021-04-22,95.32,1,95.32
GO55076,BV-DR-ENER-500G,11113,2022-09-20,2022-09-24,2022-10-03,36.73,1,36.73
GO55077,HB-FO-TOOT-EA,15436,2025-12-19,2025-12-23,2026-01-02,1155.36,12,96.28
GO55078,PR-DR-BANA-XL,19581,2025-03-30,2025-04-04,2025-04-08,26.84,1,26.84
GO55079,MT-GR-CHIC-2L,11043,2022-03-11,2022-03-15,2022-03-24,212.13,3,70.71
GO55080,SN-DR-POPC-12PK,17242,2025-06-02,2025-06-09,2025-06-12,38.28,3,12.76
GO55081,PN-CL-SPAG-1KG,14781,2022-08-09,2022-08-10,2022-08-20,55.75,1,55.75
GO55082,FR-GR-FROZ-6PK,26081,2021-07-10,2021-07-12,2021-07-15,181.11,3,60.37
GO55083,MT-GR-PRAW-FAMILY,17197,2022-11-23,2022-11-26,2022-12-07,176.48,2,88.24
GO55084,SN-CL-POPC-FAMILY,12157,2021-09-06,2021-09-08,2021-09-18,362.52,4,90.63
GO55085,HH-FO-PAPE-250G,16129,2025-07-28,2025-07-31,2025-08-09,246.0,6,41.0
GO55086,BK-FO-BURG-12PK,15769,2022-07-10,2022-07-13,2022-07-23,70.04,1,70.04
GO55087,BK-FO-WHIT-12PK,24447,2020-01-18,2020-01-19,2020-01-24,21.95,1,21.95
GO55088,HB-PC-BODY-EA,23217,2023-09-30,2023-10-01,2023-10-05,159.48,2,79.74
GO55089,FR-FO-ICEC-1KG,22413,2020-07-25,2020-07-28,2020-08-03,299.58,3,99.86
GO55090,HH-CH-PAPE-500G,29239,2022-04-19,2022-04-25,2022-04-25,65.28,1,65.28
GO55091,FR-FO-FROZ-1L,19247,2021-05-27,2021-06-03,2021-06-04,175.22,2,87.61
GO55092,PR-FO-CARR-6PK,13777,2021-07-16,2021-07-23,2021-07-21,43.76,2,21.88
GO55093,PR-FO-LETT-XL,11683,2020-07-16,2020-07-22,2020-07-30,21.53,1,21.53
GO55094,PR-CL-APPL-6PK,12533,2023-03-31,2023-04-01,2023-04-08,163.36,2,81.68
GO55095,FR-CH-FISH-6PK,23020,2025-03-29,2025-04-03,2025-04-10,71.47,1,71.47
GO55096,BV-FO-ORAN-1L,25018,2023-05-14,2023-05-16,2023-05-28,28.58,1,28.58
GO55097,SN-DR-MIXE-6PK,27059,2023-04-05,2023-04-06,2023-04-12,95.92,4,23.98
GO55098,PN-FO-SPAG-1L,20459,2023-07-15,2023-07-17,2023-07-22,165.75,5,33.15
GO55099,HB-GR-SHAM-12PK,19883,2026-04-03,2026-04-10,2026-04-08,96.15,3,32.05
GO55100,FR-CL-FROZ-FAMILY,17816,2022-12-24,2022-12-26,2023-01-04,80.08,1,80.08
GO55101,BV-PC-GREE-FAMILY,16696,2022-12-29,2023-01-05,2023-01-10,239.73,3,79.91
GO55102,MT-CH-SAUS-1KG,21182,2020-12-12,2020-12-16,2020-12-22,121.05,5,24.21
GO55103,MT-FO-LAMB-12PK,11549,2020-07-20,2020-07-25,2020-07-27,34.54,1,34.54
GO55104,BV-GR-GREE-FAMILY,28720,2023-05-17,2023-05-21,2023-05-30,6.48,6,1.08
GO55105,FR-GR-ICEC-1KG,16537,2024-02-15,2024-02-22,2024-02-20,96.52,2,48.26
GO55106,PN-DR-BAKE-FAMILY,21018,2023-07-23,2023-07-26,2023-08-01,288.88,4,72.22
GO55107,HH-FO-BINB-6PK,13448,2025-04-15,2025-04-22,2025-04-20,135.6,10,13.56
GO55108,MT-CH-PRAW-EA,13005,2021-03-10,2021-03-11,2021-03-22,493.35,5,98.67
GO55109,HH-GR-LAUN-EA,26239,2020-07-14,2020-07-20,2020-07-23,24.93,1,24.93
GO55110,SN-CH-COOK-FAMILY,13527,2022-04-13,2022-04-15,2022-04-27,2.6,1,2.6
GO55111,SN-GR-POTA-1L,28758,2023-05-22,2023-05-29,2023-05-30,40.22,1,40.22
GO55112,HB-CH-NAPP-12PK,17477,2022-03-18,2022-03-21,2022-03-24,75.39,1,75.39
GO55113,BK-PC-CROI-EA,20495,2022-07-08,2022-07-13,2022-07-14,31.78,1,31.78
GO55114,SN-PC-COOK-1KG,11008,2022-11-10,2022-11-13,2022-11-21,597.9,6,99.65
GO55115,HB-FO-TOOT-EA,28972,2023-09-19,2023-09-24,2023-10-03,170.76,2,85.38
GO55116,BK-PC-CHOC-250G,12497,2021-11-10,2021-11-14,2021-11-22,286.8,10,28.68
GO55117,SN-PC-COOK-FAMILY,13041,2026-02-18,2026-02-25,2026-02-25,95.5,5,19.1
GO55118,PR-GR-ORAN-12PK,14763,2021-06-15,2021-06-20,2021-06-26,83.23,1,83.23
GO55119,BK-GR-BAGE-1L,23430,2020-11-23,2020-11-28,2020-12-06,407.04,3,135.68
GO55120,HB-CH-BODY-500G,21267,2025-04-06,2025-04-13,2025-04-20,43.05,1,43.05
GO55121,DA-DR-SOUR-2L,26547,2024-08-22,2024-08-29,2024-08-30,167.35,5,33.47
GO55122,BK-GR-BAGE-1L,23721,2025-10-13,2025-10-14,2025-10-19,322.44,3,107.48
GO55123,BK-CL-BURG-EA,17381,2024-03-16,2024-03-18,2024-03-24,10.5,3,3.5
GO55124,MT-FO-LAMB-EA,21346,2024-01-25,2024-01-29,2024-02-06,136.82,2,68.41
GO55125,PR-FO-SPIN-2L,11774,2024-10-18,2024-10-22,2024-10-28,60.84,1,60.84
GO55126,BV-FO-SPRI-6PK,22412,2026-01-13,2026-01-14,2026-01-27,141.74,2,70.87
GO55127,SN-CL-CHOC-6PK,13285,2023-08-29,2023-09-03,2023-09-10,440.88,12,36.74
GO55128,FR-PC-FROZ-1L,13013,2023-11-18,2023-11-22,2023-11-23,253.28,2,126.64
GO55129,PN-PC-SUGA-6PK,16085,2023-04-18,2023-04-23,2023-04-27,115.85,1,115.85
GO55130,PN-FO-TOMA-2L,28678,2024-12-23,2024-12-26,2024-12-30,72.5,2,36.25
GO55131,BK-FO-BAGE-1L,27482,2021-12-05,2021-12-09,2021-12-18,72.96,2,36.48
GO55132,BK-PC-BAGE-1KG,22888,2022-05-10,2022-05-11,2022-05-18,92.44,2,46.22
GO55133,BK-CL-WHOL-250G,18670,2022-12-20,2022-12-23,2023-01-01,61.11,1,61.11
GO55134,HH-CL-SURF-12PK,29427,2025-08-25,2025-09-01,2025-09-08,52.48,2,26.24
GO55135,FR-PC-FROZ-250G,15473,2025-03-04,2025-03-08,2025-03-10,202.96,2,101.48
GO55136,MT-CL-PORK-1KG,25605,2023-04-16,2023-04-20,2023-04-27,208.86,2,104.43
GO55137,BV-DR-GREE-250G,16823,2024-12-29,2025-01-01,2025-01-08,23.37,1,23.37
GO55138,FR-PC-FROZ-EA,28364,2021-03-19,2021-03-25,2021-03-30,107.69,1,107.69
GO55139,PR-CH-POTA-250G,16546,2025-05-09,2025-05-10,2025-05-17,197.16,3,65.72
GO55140,FR-CL-ICEC-500G,14793,2020-01-28,2020-01-30,2020-02-06,196.24,4,49.06
GO55141,BK-CH-BAGE-XL,15294,2024-02-11,2024-02-16,2024-02-18,51.78,2,25.89
GO55142,DA-DR-MOZZ-1L,29401,2023-09-20,2023-09-21,2023-09-25,66.58,2,33.29
GO55143,MT-PC-SAUS-250G,26130,2024-01-01,2024-01-05,2024-01-11,39.04,4,9.76
GO55144,MT-CL-PRAW-250G,29069,2024-04-09,2024-04-13,2024-04-18,238.89,3,79.63
GO55145,BK-PC-CROI-EA,29449,2024-10-23,2024-10-27,2024-10-28,162.15,5,32.43
GO55146,BK-FO-CHOC-1L,15136,2023-02-19,2023-02-25,2023-02-26,324.92,4,81.23
GO55147,HB-GR-TOOT-XL,16113,2020-08-21,2020-08-22,2020-09-04,119.47,1,119.47
GO55148,BV-CL-GREE-FAMILY,27404,2024-02-02,2024-02-07,2024-02-16,6.29,1,6.29
GO55149,PR-FO-CARR-6PK,13331,2024-03-23,2024-03-27,2024-04-05,46.34,2,23.17
GO55150,BV-CH-SPRI-2L,16816,2023-02-14,2023-02-21,2023-02-22,19.3,1,19.3
GO55151,BV-DR-GREE-250G,19074,2022-01-30,2022-02-01,2022-02-05,43.16,2,21.58
GO55152,PN-FO-OLIV-250G,17110,2024-05-11,2024-05-15,2024-05-24,89.28,1,89.28
GO55153,HB-CH-HAND-1KG,13097,2022-04-25,2022-04-27,2022-05-03,49.14,3,16.38
GO55154,HB-PC-PAIN-2L,21020,2021-08-18,2021-08-24,2021-09-01,66.04,1,66.04
GO55155,FR-CL-FROZ-FAMILY,17716,2026-04-20,2026-04-25,2026-04-26,118.06,2,59.03
GO55156,PR-CL-APPL-1KG,11305,2023-07-25,2023-07-31,2023-07-30,237.12,3,79.04
GO55157,PR-CL-SPIN-250G,12017,2021-03-16,2021-03-23,2021-03-30,4.72,2,2.36
GO55158,DA-FO-WHOL-1L,13961,2020-02-11,2020-02-14,2020-02-23,87.43,1,87.43
GO55159,HB-FO-PAIN-12PK,19323,2026-01-16,2026-01-22,2026-01-26,440.75,5,88.15
GO55160,PN-PC-BASM-2L,28916,2021-03-19,2021-03-26,2021-03-27,299.43,3,99.81
GO55161,HB-FO-HAND-1L,20557,2024-12-07,2024-12-11,2024-12-17,180.42,6,30.07
GO55162,MT-PC-PORK-2L,15427,2022-02-06,2022-02-10,2022-02-18,257.04,6,42.84
GO55163,BV-CL-SPRI-1KG,26375,2025-02-15,2025-02-21,2025-02-20,37.52,2,18.76
GO55164,DA-CH-WHOL-6PK,25481,2025-08-27,2025-08-28,2025-09-07,234.0,4,58.5
GO55165,HH-CH-PAPE-6PK,25215,2024-12-17,2024-12-24,2024-12-31,27.04,2,13.52
GO55166,BK-FO-MUFF-1KG,28123,2024-12-15,2024-12-22,2024-12-21,295.08,3,98.36
GO55167,FR-FO-FROZ-XL,22644,2025-08-14,2025-08-19,2025-08-24,234.36,3,78.12
GO55168,PN-PC-TUNA-12PK,27872,2021-05-04,2021-05-07,2021-05-15,144.02,2,72.01
GO55169,SN-GR-CHOC-2L,22301,2024-06-01,2024-06-08,2024-06-07,122.72,2,61.36
GO55170,HB-GR-BODY-1L,11050,2025-12-04,2025-12-10,2025-12-15,60.62,1,60.62
GO55171,HB-CL-PAIN-12PK,15800,2022-05-27,2022-05-28,2022-06-07,273.63,3,91.21
GO55172,BV-PC-INST-1KG,26073,2023-09-26,2023-10-01,2023-10-02,30.69,1,30.69
GO55173,SN-GR-CHOC-2L,28301,2021-12-03,2021-12-05,2021-12-15,89.74,2,44.87
GO55174,PR-CL-TOMA-250G,19313,2023-08-12,2023-08-13,2023-08-21,168.12,12,14.01
GO55175,HB-GR-TOOT-XL,15718,2023-09-25,2023-09-28,2023-09-30,174.04,2,87.02
GO55176,FR-CL-FROZ-FAMILY,18690,2023-06-17,2023-06-23,2023-06-23,62.97,1,62.97
GO55177,PR-GR-ORAN-12PK,14008,2024-06-24,2024-06-26,2024-06-30,376.15,5,75.23
GO55178,HH-DR-LAUN-EA,28140,2021-08-07,2021-08-09,2021-08-14,222.96,3,74.32
GO55179,SN-FO-CHOC-XL,14443,2025-09-06,2025-09-12,2025-09-15,84.48,1,84.48
GO55180,HB-GR-NAPP-XL,11980,2024-01-07,2024-01-11,2024-01-13,281.19,3,93.73
GO55181,SN-GR-CHOC-2L,20368,2021-01-17,2021-01-20,2021-01-30,158.4,3,52.8
GO55182,BK-DR-BAGE-12PK,25387,2022-02-16,2022-02-20,2022-02-21,12.9,1,12.9
GO55183,DA-GR-SOUR-1KG,25122,2021-08-10,2021-08-12,2021-08-20,212.73,3,70.91
GO55184,FR-FO-FROZ-6PK,11260,2020-03-17,2020-03-24,2020-03-22,22.36,2,11.18
GO55185,BV-CL-GREE-FAMILY,23272,2024-09-03,2024-09-05,2024-09-17,14.12,2,7.06
GO55186,DA-GR-SOUR-12PK,24655,2023-11-28,2023-12-04,2023-12-04,299.95,5,59.99
GO55187,PN-CL-BAKE-6PK,13856,2021-04-24,2021-05-01,2021-04-29,104.49,1,104.49
GO55188,HB-FO-PAIN-12PK,12992,2025-08-15,2025-08-16,2025-08-24,1221.6,12,101.8
GO55189,BV-GR-ENER-6PK,13175,2025-10-21,2025-10-27,2025-11-04,81.99,1,81.99
GO55190,BK-CL-WHOL-250G,22220,2020-10-23,2020-10-25,2020-11-03,76.73,1,76.73
GO55191,FR-CL-FROZ-EA,15259,2020-08-26,2020-08-27,2020-09-01,810.6,12,67.55
GO55192,FR-DR-ICEC-1L,12767,2021-01-01,2021-01-07,2021-01-07,241.64,4,60.41
GO55193,BK-CH-BAGE-250G,13238,2020-10-29,2020-11-03,2020-11-07,20.58,3,6.86
GO55194,FR-CL-FISH-EA,20202,2021-10-21,2021-10-23,2021-10-31,48.23,1,48.23
GO55195,FR-DR-FISH-12PK,27205,2023-05-15,2023-05-22,2023-05-26,50.97,3,16.99
GO55196,PR-FO-LETT-XL,12149,2025-12-13,2025-12-18,2025-12-25,23.83,1,23.83
GO55197,MT-CH-SAUS-1KG,22026,2022-03-15,2022-03-22,2022-03-25,48.3,2,24.15
GO55198,FR-DR-FROZ-2L,20427,2024-05-14,2024-05-18,2024-05-28,147.68,2,73.84
GO55199,SN-DR-CHOC-1KG,23878,2022-01-08,2022-01-13,2022-01-19,67.52,1,67.52
GO55200,PR-CH-BANA-12PK,14622,2022-10-24,2022-10-27,2022-11-03,123.68,4,30.92
GO55201,FR-DR-ICEC-1L,16403,2022-08-28,2022-08-30,2022-09-08,61.35,1,61.35
GO55202,MT-DR-BEEF-1L,26001,2025-04-11,2025-04-15,2025-04-18,25.7,1,25.7
GO55203,MT-GR-SALM-250G,17296,2024-02-24,2024-02-28,2024-03-09,190.76,4,47.69
GO55204,DA-FO-CREA-12PK,23679,2021-12-25,2021-12-30,2022-01-03,179.88,4,44.97
GO55205,PN-CH-SUGA-2L,22440,2020-10-15,2020-10-16,2020-10-23,8.04,2,4.02
GO55206,BK-CH-WHIT-1L,23400,2024-09-26,2024-09-28,2024-10-09,41.74,2,20.87
GO55207,PR-FO-AVOC-EA,26231,2025-09-10,2025-09-11,2025-09-20,144.16,2,72.08
GO55208,PR-GR-BANA-1KG,13771,2025-03-21,2025-03-26,2025-04-01,199.83,3,66.61
GO55209,DA-GR-CHED-12PK,19809,2022-10-22,2022-10-25,2022-10-28,37.3,10,3.73
GO55210,BK-CL-CHOC-XL,27017,2022-09-06,2022-09-10,2022-09-16,47.32,1,47.32
GO55211,HH-DR-SURF-1KG,20922,2020-09-07,2020-09-11,2020-09-16,397.62,6,66.27
GO55212,PR-CL-TOMA-500G,20425,2022-03-05,2022-03-06,2022-03-11,305.58,3,101.86
GO55213,PN-GR-SUGA-XL,18715,2020-11-07,2020-11-09,2020-11-17,115.65,3,38.55
GO55214,HB-GR-HAND-EA,12002,2024-12-04,2024-12-07,2024-12-10,51.06,1,51.06
GO55215,FR-CL-FROZ-FAMILY,25717,2023-08-08,2023-08-10,2023-08-18,60.76,1,60.76
GO55216,SN-DR-CHOC-EA,28456,2024-06-19,2024-06-25,2024-06-29,106.46,2,53.23
GO55217,BK-CH-CROI-1L,27209,2024-08-20,2024-08-25,2024-08-30,32.4,1,32.4
GO55218,HB-GR-HAND-EA,12718,2024-10-16,2024-10-17,2024-10-21,43.47,1,43.47
GO55219,HH-FO-BINB-6PK,23456,2024-05-13,2024-05-17,2024-05-24,17.32,1,17.32
GO55220,FR-PC-FROZ-1L,28224,2022-09-08,2022-09-09,2022-09-20,285.15,3,95.05
GO55221,FR-GR-ICEC-250G,26315,2023-11-25,2023-11-26,2023-12-01,1.52,1,1.52
GO55222,MT-CL-BEEF-EA,11422,2020-01-15,2020-01-22,2020-01-29,2.8,2,1.4
GO55223,BK-CL-CROI-2L,24416,2020-09-05,2020-09-10,2020-09-16,7.1,1,7.1
GO55224,PR-DR-BANA-XL,26863,2020-04-02,2020-04-04,2020-04-15,67.89,3,22.63
GO55225,HB-PC-PAIN-XL,24760,2020-12-29,2021-01-04,2021-01-08,109.3,2,54.65
GO55226,MT-GR-PRAW-XL,21132,2020-08-03,2020-08-09,2020-08-12,76.48,1,76.48
GO55227,DA-DR-SOUR-2L,14171,2025-05-31,2025-06-05,2025-06-14,40.05,1,40.05
GO55228,HB-GR-SHAM-12PK,19699,2025-02-19,2025-02-23,2025-03-04,33.11,1,33.11
GO55229,DA-GR-SOUR-12PK,23077,2022-11-25,2022-11-26,2022-12-05,242.48,4,60.62
GO55230,SN-GR-CHOC-1KG,14767,2023-06-27,2023-07-01,2023-07-02,51.56,1,51.56
GO55231,BK-CH-WHIT-12PK,17205,2022-08-27,2022-08-29,2022-09-02,46.53,1,46.53
GO55232,HH-CH-TOIL-2L,22414,2025-11-04,2025-11-08,2025-11-09,-1.0,5,63.32
GO55233,MT-CH-PRAW-EA,11935,2021-12-22,2021-12-27,2021-12-30,372.54,3,124.18
GO55234,MT-DR-BEEF-1L,22246,2023-09-21,2023-09-28,2023-10-03,118.16,4,29.54
GO55235,PR-DR-SPIN-EA,11870,2022-01-29,2022-02-02,2022-02-05,37.71,1,37.71
GO55236,DA-FO-CREA-12PK,21541,2021-06-21,2021-06-22,2021-06-27,102.06,3,34.02
GO55237,HB-CL-PAIN-XL,20784,2021-06-07,2021-06-11,2021-06-21,224.92,4,56.23
GO55238,PN-CH-OLIV-6PK,20310,2021-03-05,2021-03-06,2021-03-12,188.94,2,94.47
GO55239,PR-PC-AVOC-6PK,18772,2026-02-03,2026-02-09,2026-02-11,23.82,1,23.82
GO55240,HB-FO-BODY-12PK,16671,2023-11-17,2023-11-22,2023-11-24,496.1,10,49.61
GO55241,HB-GR-TOOT-XL,24669,2022-12-17,2022-12-18,2022-12-22,347.07,3,115.69
GO55242,BV-PC-GREE-EA,28800,2020-07-03,2020-07-10,2020-07-16,1.22,1,1.22
GO55243,BV-DR-ENER-500G,12547,2022-01-22,2022-01-25,2022-01-28,16.3,1,16.3
GO55244,BK-CL-WHOL-250G,25900,2021-01-01,2021-01-05,2021-01-13,368.9,5,73.78
GO55245,PR-GR-APPL-500G,27683,2023-04-12,2023-04-18,2023-04-23,8.08,2,4.04
GO55246,PN-PC-BASM-2L,18692,2024-09-10,2024-09-16,2024-09-18,86.81,1,86.81
GO55247,DA-GR-SOUR-12PK,21694,2025-03-02,2025-03-09,2025-03-10,181.02,3,60.34
GO55248,HH-PC-TOIL-6PK,26342,2020-11-01,2020-11-05,2020-11-15,146.85,3,48.95
GO55249,PN-DR-SUGA-1L,25628,2020-04-14,2020-04-16,2020-04-20,76.07,1,76.07
GO55250,BK-CH-BURG-1L,24646,2022-07-14,2022-07-21,2022-07-23,91.68,2,45.84
GO55251,HB-CL-HAND-1L,13704,2025-08-05,2025-08-07,2025-08-12,585.25,5,117.05
GO55252,HB-FO-HAND-1L,27656,2021-06-16,2021-06-20,2021-06-26,58.72,2,29.36
GO55253,PN-CH-OLIV-6PK,12896,2026-04-21,2026-04-22,2026-04-27,232.72,2,116.36
GO55254,BK-CL-WHOL-EA,16322,2023-03-29,2023-04-03,2023-04-08,395.22,6,65.87
GO55255,BK-CH-BAGE-XL,26976,2021-05-22,2021-05-26,2021-05-29,188.94,6,31.49
GO55256,BV-FO-SPRI-FAMILY,17972,2023-01-08,2023-01-09,2023-01-14,34.62,2,17.31
GO55257,BV-DR-SPRI-6PK,17857,2023-11-22,2023-11-24,2023-11-28,74.64,6,12.44
GO55258,SN-FO-CHOC-XL,28930,2022-04-11,2022-04-17,2022-04-23,125.16,2,62.58
GO55259,BK-CH-CROI-500G,18381,2024-07-12,2024-07-14,2024-07-17,101.6,2,50.8
GO55260,FR-CH-FISH-6PK,19306,2021-12-26,2021-12-31,2022-01-08,295.59,3,98.53
GO55261,HH-DR-DISH-1L,24490,2020-08-03,2020-08-07,2020-08-12,0.8,1,0.8
GO55262,HB-GR-TOOT-250G,19032,2020-04-09,2020-04-14,2020-04-19,150.92,2,75.46
GO55263,HB-CL-HAND-FAMILY,27741,2022-03-11,2022-03-15,2022-03-19,22.77,3,7.59
GO55264,DA-PC-BUTT-250G,19238,2022-02-10,2022-02-15,2022-02-16,119.44,2,59.72
GO55265,FR-GR-ICEC-1KG,20081,2020-07-13,2020-07-18,2020-07-23,97.5,2,48.75
GO55266,BV-GR-ORAN-2L,25324,2026-05-14,2026-05-20,2026-05-28,88.87,1,88.87
GO55267,HH-FO-PAPE-250G,28969,2026-05-19,2026-05-21,2026-06-02,121.56,4,30.39
GO55268,FR-FO-FROZ-1KG,15138,2025-10-13,2025-10-17,2025-10-23,247.5,10,24.75
GO55269,DA-GR-CHED-12PK,24205,2023-02-24,2023-03-03,2023-03-03,4.18,1,4.18
GO55270,PN-CL-BASM-XL,27988,2024-08-25,2024-08-30,2024-09-05,174.36,3,58.12
GO55271,MT-CH-SAUS-1KG,27331,2024-10-14,2024-10-20,2024-10-23,80.1,3,26.7
GO55272,MT-DR-BEEF-1L,21660,2020-06-22,2020-06-29,2020-07-04,32.77,1,32.77
GO55273,SN-DR-COOK-1KG,26327,2025-07-17,2025-07-24,2025-07-24,67.86,2,33.93
GO55274,SN-CL-POPC-XL,20062,2023-06-19,2023-06-20,2023-07-02,65.82,2,32.91
GO55275,HB-GR-TOOT-250G,21103,2020-02-01,2020-02-03,2020-02-09,301.55,5,60.31
GO55276,PR-CH-ORAN-1L,28171,2022-10-03,2022-10-05,2022-10-13,41.56,2,20.78
GO55277,BV-FO-ORAN-FAMILY,21908,2023-03-18,2023-03-21,2023-04-01,310.6,4,77.65
GO55278,DA-GR-SOUR-12PK,11058,2022-03-11,2022-03-13,2022-03-19,52.68,1,52.68
GO55279,FR-GR-ICEC-250G,22808,2020-10-31,2020-11-02,2020-11-07,8.5,5,1.7
GO55280,DA-FO-SOUR-250G,13750,2022-01-02,2022-01-08,2022-01-12,28.45,1,28.45
GO55281,HB-CL-TOOT-XL,20960,2022-02-16,2022-02-23,2022-03-02,76.82,2,38.41
GO55282,SN-CL-POTA-12PK,19047,2023-09-01,2023-09-02,2023-09-10,46.64,1,46.64
GO55283,BV-DR-SPAR-1L,29191,2026-02-26,2026-02-27,2026-03-09,350.07,3,116.69
GO55284,BV-CL-SPRI-1KG,29172,2022-10-29,2022-10-31,2022-11-12,160.3,5,32.06
GO55285,DA-FO-CREA-EA,24884,2024-08-10,2024-08-17,2024-08-22,480.8,10,48.08
GO55286,MT-CH-SAUS-1KG,18348,2022-01-02,2022-01-09,2022-01-14,52.82,2,26.41
GO55287,DA-CL-CREA-12PK,19747,2021-10-02,2021-10-09,2021-10-08,5.05,1,5.05
GO55288,PR-PC-SPIN-XL,22842,2022-09-12,2022-09-14,2022-09-21,74.3,5,14.86
GO55289,HB-PC-BODY-250G,24635,2021-07-31,2021-08-03,2021-08-11,227.8,4,56.95
GO55290,FR-DR-FROZ-2L,17887,2021-10-15,2021-10-18,2021-10-25,261.72,4,65.43
GO55291,HB-GR-TOOT-XL,17482,2022-10-01,2022-10-06,2022-10-08,244.3,2,122.15
GO55292,HB-GR-TOOT-XL,23979,2024-10-08,2024-10-13,2024-10-18,341.31,3,113.77
GO55293,BV-PC-GREE-FAMILY,15079,2023-07-29,2023-07-31,2023-08-08,495.0,6,82.5
GO55294,PR-FO-CARR-250G,17214,2021-02-08,2021-02-13,2021-02-22,90.65,1,90.65
GO55295,BV-CH-GREE-2L,28530,2021-10-20,2021-10-21,2021-10-25,94.53,1,94.53
GO55296,SN-GR-POTA-1L,27311,2023-10-20,2023-10-21,2023-10-29,38.84,1,38.84
GO55297,BV-PC-INST-1KG,28363,2021-11-09,2021-11-16,2021-11-22,99.9,3,33.3
GO55298,HB-FO-TOOT-EA,17986,2024-07-31,2024-08-02,2024-08-07,74.74,1,74.74
GO55299,BK-CL-BAGE-500G,13663,2025-03-12,2025-03-18,2025-03-25,1.68,2,0.84
GO55300,HH-GR-DISH-12PK,12976,2026-04-27,2026-04-29,2026-05-04,19.03,1,19.03
GO55301,BV-DR-GREE-250G,16735,2023-11-27,2023-12-03,2023-12-09,39.18,2,19.59
GO55302,BV-PC-GREE-EA,20001,2022-04-19,2022-04-26,2022-04-24,0.96,1,0.96
GO55303,FR-CL-FROZ-EA,22647,2024-01-18,2024-01-23,2024-01-29,246.32,4,61.58
GO55304,HB-GR-TOOT-XL,17519,2026-05-23,2026-05-27,2026-05-31,241.32,2,120.66
GO55305,MT-FO-LAMB-2L,24700,2023-08-30,2023-09-04,2023-09-04,303.48,4,75.87
GO55306,SN-DR-MUES-2L,18376,2025-05-20,2025-05-24,2025-05-30,75.34,1,75.34
GO55307,BV-DR-SPRI-6PK,16649,2025-04-08,2025-04-14,2025-04-16,136.4,10,13.64
GO55308,HB-DR-SHAM-XL,12687,2020-05-14,2020-05-15,2020-05-27,26.27,1,26.27
GO55309,HH-CH-BINB-1KG,13137,2024-06-01,2024-06-05,2024-06-14,50.32,4,12.58
GO55310,HH-CH-PAPE-500G,25419,2020-08-21,2020-08-25,2020-08-28,151.52,2,75.76
GO55311,BV-CL-SPAR-12PK,11351,2021-01-04,2021-01-11,2021-01-15,26.33,1,26.33
GO55312,SN-CH-POTA-2L,13589,2025-01-27,2025-01-31,2025-02-02,70.31,1,70.31
GO55313,FR-GR-FROZ-6PK,12507,2023-10-20,2023-10-23,2023-10-31,878.4,12,73.2
GO55314,BV-GR-ORAN-2L,29410,2020-07-07,2020-07-13,2020-07-13,1026.4,10,102.64
GO55315,SN-GR-MIXE-12PK,24400,2024-10-12,2024-10-18,2024-10-17,232.72,4,58.18
GO55316,SN-PC-POTA-EA,28153,2026-01-30,2026-02-02,2026-02-08,42.32,1,42.32
GO55317,FR-DR-FROZ-FAMILY,13530,2023-12-17,2023-12-23,2023-12-31,171.15,3,57.05
GO55318,FR-CL-ICEC-500G,14220,2025-06-25,2025-07-02,2025-07-01,60.29,1,60.29
GO55319,BK-PC-BAGE-FAMILY,20621,2023-03-28,2023-04-04,2023-04-11,26.46,3,8.82
GO55320,BK-PC-BAGE-250G,19284,2024-07-11,2024-07-14,2024-07-20,32.84,2,16.42
GO55321,HH-CH-SURF-EA,18719,2022-04-18,2022-04-22,2022-04-24,192.48,2,96.24
GO55322,BK-CH-MUFF-500G,19593,2020-07-14,2020-07-16,2020-07-24,391.5,10,39.15
GO55323,PR-CL-TOMA-500G,18015,2023-03-27,2023-04-02,2023-04-04,168.1,2,84.05
GO55324,BK-CL-WHOL-EA,25419,2025-08-23,2025-08-26,2025-09-05,149.0,2,74.5
GO55325,HH-FO-BINB-6PK,27907,2022-11-18,2022-11-19,2022-11-28,32.2,2,16.1
GO55326,BK-FO-CROI-EA,15788,2024-06-21,2024-06-28,2024-07-02,28.22,1,28.22
GO55327,BV-GR-COLA-12PK,20130,2025-09-03,2025-09-05,2025-09-12,15.85,1,15.85
GO55328,BK-CH-CHOC-FAMILY,22347,2020-01-19,2020-01-20,2020-01-31,69.33,1,69.33
GO55329,FR-DR-FROZ-FAMILY,25353,2020-09-13,2020-09-15,2020-09-19,130.98,2,65.49
GO55330,PR-PC-ORAN-250G,22320,2026-05-10,2026-05-15,2026-05-23,289.62,6,48.27
GO55331,HH-CH-PAPE-500G,20279,2020-12-25,2020-12-26,2021-01-04,71.52,1,71.52
GO55332,SN-GR-MIXE-12PK,12456,2025-02-23,2025-02-24,2025-02-28,101.86,2,50.93
GO55333,PR-GR-TOMA-12PK,23467,2022-04-13,2022-04-18,2022-04-22,309.81,3,103.27
GO55334,SN-DR-CHOC-EA,15419,2024-01-20,2024-01-26,2024-01-31,368.04,6,61.34
